id,section,question,choice_a,choice_b,choice_a_target,choice_b_target
Q1,ด่านที่ 1: สวนแห่งการเริ่มต้น,ก้าวแรกที่หลุดเข้ามาในสวน คุณมักจะ..,ยืนนิ่ง ๆ ซึมซับความสงบ,ก้าวออกไปสำรวจรอบตัวทันที,I,E
Q2,ด่านที่ 1: สวนแห่งการเริ่มต้น,สิ่งที่ดึงดูดใจคุณท่ามกลาง ธรรมชาติคืออะไร,ฝูงนกบินเล่นและเสียงน้ำตก,มุมสงบที่ไม่มีใครรบกวน,E,I
Q3,ด่านที่ 1: สวนแห่งการเริ่มต้น,บังเอิญสบตากับคนดูแลสวนที่เดินสวนมาพอดี คุณ..,ยิ้มรับและเอ่ยทักทายทันที,ค้อมหัวให้แล้วเดินต่อ,E,I
Q4,ด่านที่ 1: สวนแห่งการเริ่มต้น,เดินสำรวจจนหมดแรง สิ่งที่จะช่วยฮีลใจคุณคือ,ความเงียบและเวลาส่วนตัว,บทสนทนาสั้น ๆ กับคนรู้ใจ,I,E
Q5,ด่านที่ 1: สวนแห่งการเริ่มต้น,มุมสร้างกระท่อมพักใจ ที่คุณชอบที่สุดคือ,ลานโล่งวิวทิวทัศน์กว้าง,ซอกหลืบลับที่ซ่อนตัวมิดชิด,E,I
Q6,ด่านที่ 2: ผืนป่าลึกลับ⁠,คนดูแลสวนยื่นเมล็ดพันธุ์ ไร้ชื่อให้ คุณจะ..,พลิกดูรูปทรงและถามวิธีดูแล,สงสัยว่าจะเติบโตมาเป็นยังไง,S,N
Q7,ด่านที่ 2: ผืนป่าลึกลับ⁠,จู่ ๆ ท้องฟ้ามืดลงกะทันหัน แวบแรกที่คิดคือ,ต้องจะมีอะไรแปลก ๆ เกิดขึ้นแน่ ๆ,ฝนตกกำลังจะตกแน่ ๆ รีบหาที่หลบ,N,S
Q8,ด่านที่ 2: ผืนป่าลึกลับ⁠,ดินเริ่มแห้งแล้งจนพืช เหี่ยวเฉา คุณจะ..,หาวิธีดูแลใหม่ที่อาจจะดีกว่าเดิม,รดน้ำและพรวนดินตามวิธีที่เคยได้ผล,N,S
Q9,ด่านที่ 2: ผืนป่าลึกลับ⁠,พายุพัดจนซุ้มไม้เอียง คุณจัดการยังไง,หาไม้ใกล้ตัวมาค้ำโครงเดิม,ย้ายทุกต้นไปไว้ตรงมุมที่ปลอดภัย,S,N
Q10,ด่านที่ 2: ผืนป่าลึกลับ⁠,เดินลึกเข้าไปในป่า สิ่งแรกที่สะดุดตาคือ..,สัญลักษณ์โบราณบนหิน,ผลไม้สีสดที่เก็บกินได้,N,S
Q11,ด่านที่ 3: ลำธารแห่งการตัดสินใจ⁠,สัตว์ตัวน้อยแอบมากิน ยอดอ่อนที่เพิ่งปลูก,จับไว้ดูว่าช่วยงานอะไรได้ไหม,สละให้กินด้วยความเอ็นดู,T,F
Q12,ด่านที่ 3: ลำธารแห่งการตัดสินใจ⁠,สัตว์ตอบแทนคุณด้วยหิน เรืองแสง คุณรู้สึกอย่างไร,อบอุ่นใจที่ได้มิตรภาพ,คำนวณในหัวว่าคุ้มค่าไหม,F,T
Q13,ด่านที่ 3: ลำธารแห่งการตัดสินใจ⁠,พื้นที่ไม่พอ จำเป็นต้องตัด ต้นไม้ออก คุณเลือก..,ตัดต้นที่ให้ผลตอบแทนน้อย,ตัดต้นที่ไม่ชอบ แต่เก็บต้นแรกไว้,T,F
Q14,ด่านที่ 3: ลำธารแห่งการตัดสินใจ⁠,สัตว์สองตัวมาขออยู่ด้วย คุณจะเลือกตัวไหน,ตัวที่สบตาแล้วถูกชะตาทันที,ตัวที่มีช่วยดูแลสวนได้,F,T
Q15,ด่านที่ 3: ลำธารแห่งการตัดสินใจ⁠,มีคนมาขอแลกกิ่งไม้ธรรมดากับของมีค่าของคุณ,ยอมแลกเพราะอยากช่วยเหลือ,ปฏิเสธตรง ๆ เพราะไม่สมเหตุผล,F,T
Q16,ด่านที่ 4: ทางแยกสู่ปลายทาง⁠,อยู่ ๆ มีเส้นทางลับเปิดออก ตรงหน้า จะลุยยังไงต่อ,ก้าวเข้าไปทันที ลุยเอาหน้างาน,เช็กสัมภาระให้พร้อมก่อนค่อยไป,P,J
Q17,ด่านที่ 4: ทางแยกสู่ปลายทาง⁠,ได้แผนที่เกาะลับมา สไตล์การล่าสมบัติของคุณ..,ปักหมุดเส้นทางตามลำดับ,เดินเรื่อยเปื่อย เจออะไรก็แวะ,J,P
Q18,ด่านที่ 4: ทางแยกสู่ปลายทาง⁠,ประตูหินโบราณปิดล็อก พร้อมกลไกปริศนา..,ถอดรหัสตามแพทเทิร์นรอยสลัก,ลองหมุน ๆ กด ๆ เผื่อฟลุ๊คถูก,J,P
Q19,ด่านที่ 4: ทางแยกสู่ปลายทาง⁠,เมื่อพืชโตเต็มวัยแล้ว ก้าวต่อไปคือ..,วางแผนปลูกต้นใหม่ต่อทันที,นั่งพักดื่มด่ำกับผลงานตรงหน้า,J,P
Q20,ด่านที่ 4: ทางแยกสู่ปลายทาง⁠,ก่อนหลับตาพักผ่อนในคืนนี้ คุณคิดถึงวันพรุ่งนี้แบบไหน,นึกถึงสิ่งที่ต้องทำพรุ่งนี้,ปล่อยใจให้สบาย ตื่นมาค่อยคิด,J,P
