Buddy_id,mbti_type,buddy_name,skill_name,skill_type,skill_value,skill_description
BUDDY_BLACK_CAT,INTJ,แมวดำกาลเวลา,Calm Rhythm,GROWTH_SPEED_BOOST,0.05,นั่งเฝ้ากระถางอย่างเงียบสงบและตั้งใจ ช่วยเร่งเวลาให้ต้นไม้ ของคุณเติบโตไวขึ้น 5%
BUDDY_OWL,INTP,นกฮูกสปอร์เห็ด,Curious Spore,ISLAND_RARE_CHANCE,0.1,ช่างสังเกตและชอบค้นคว้า ช่วยเพิ่ม   โอกาส 10% ที่จะพบไอเทมระดับแรร์ ในระหว่างออกสำรวจเกาะ
BUDDY_LION,ENTJ,สิงโตมงกุฎทอง,Royal Nutrition,FERTILIZER_BOOST,0.1,คัดสรรสารอาหารชั้นดี ทำให้ปุ๋ยทุกชิ้น  ที่คุณใช้บำรุงต้นไม้ประสิทธิภาพดีขึ้นอีก 10%
BUDDY_FOX,ENTP,จิ้งจอกสายลม,Breezy Spark,WATER_PLANT_EXP,2,วิ่งเล่นเรียกลมสดชื่น ทุกครั้งที่คุณรดน้ำต้นไม้จะได้รับ EXP เพิ่มทันที 2 แต้ม
BUDDY_DEER,INFJ,กวางน้อยแสงดาว,Star Whisper,SICK_CHANCE_REDUCE,0.15,ปลอบประโลมด้วยแสงดาว ช่วยให้ต้นไม้แข็งแรงและลดโอกาสป่วย    ลง 15%
BUDDY_RABBIT,INFP,กระต่ายก้อนเมฆ,Cloud Blanket,DRY_GRACE_TIME,4,กอดต้นไม้ไว้ด้วยไออุ่นนุ่มฟู แม้ดินจะแห้ง ต้นไม้ก็ทนรอคุณกลับมารดน้ำได้นานขึ้นอีก 4 ชั่วโมง
BUDDY_DOLPHIN,ENFJ,โลมาคลื่นน้ำใส,Hearty Bond,FRIEND_FLOWER_BONUS,1,ชอบส่งต่อรอยยิ้ม ทุกครั้งที่คุณแวะไปช่วยรดน้ำต้นไม้ให้เพื่อน จะได้รับแต้มดอกไม้เพิ่ม 1 แต้ม
BUDDY_SQUIRREL,ENFP,กระรอกดอกไม้,Happy Bounce,SEED_CASHBACK,5,ชื่นชอบเมล็ดพืชเป็นที่สุด ทุกครั้งที่คุณซื้อเมล็ดพันธุ์ใหม่ จะได้รับแต้มดอกไม้ 5 แต้ม
BUDDY_TURTLE,ISTJ,เต่าศิลาตรวจงาน,Pest Barrier,DOUBLE_DROP_CHANCE,0.1,เดินตรวจตราอย่างละเอียดรอบคอบ ช่วยเพิ่มโอกาส 10% ที่จะได้รับไอเทมเพิ่มเป็นสองชิ้น
BUDDY_HAMSTER,ISFJ,แฮมสเตอร์สมุนไพร,Herb Remedy,CURE_SICK_CHANCE,0.3,พกสมุนไพรใจดีติดตัว ทุกครั้งที่คุณรดน้ำต้นไม้ที่กำลังป่วย       มีโอกาส 30% ที่จะรักษาให้หาทันที
BUDDY_BEAVER,ESTJ,บีเวอร์นักจัดระเบียบ,Levelup Cheer,LEVELUP_BONUS_POINTS,30,จัดระเบียบกระถางได้อย่างยอดเยี่ยม ทุกครั้งที่ต้นไม้อัปเลเวล จะมอบ แต้มดอกไม้ก้อนโตให้ทันที 30 แต้ม
BUDDY_PENGUIN,ESFJ,เพนกวินน้อยส่งของ,Butler Penguin,DAILY_SILVER_GIFT,1,แวะมาส่งพัสดุแต่เช้าตรู่ ทุกครั้งที่คุณล็อกอินวันใหม่ จะได้รับ ไอเทมกรอบเงิน 1 ชิ้น
BUDDY_BEAR,ISTP,หมีช่างไม้,Handy Craft,SEED_PRICE_DISCOUNT,0.1,พกความเชี่ยวชาญมาช่วยดูแลสวน ช่วยให้คุณใช้แต้มดอกไม้ซื้อเมล็ดพันธุ์ ในร้านค้าถูกลง 10%%
BUDDY_CHAMELEON,ISFP,กิ้งก่าสายรุ้ง,Subtle Hue,SPECIAL_EVO_CHANCE,0.05,แต้มสีสันแห่งจินตนาการ ในตอนที่ ต้นไม้ของคุณโตเต็มวัยจะมีโอกาส 5% ที่จะได้รับร่างน่ารักสุดพิเศษ
BUDDY_LEOPARD,ESTP,เสือดาวสายฟ้า,Lightning Dash,ISLAND_RESPAWN_SPEED,0.2,ปราดเปรียวและว่องไวดุจสายฟ้า ช่วยให้ไอเทมบนเกาะสำรวจเกิดใหม่    ไวขึ้น 20%
BUDDY_OTTER,ESFP,นากทะเลร่าเริง,Cheerful Splash,WATER_POINTS_BURST,3,ดำผุดดำว่ายอย่างร่าเริง ทุกครั้งที่คุณกดรดน้ำจะได้รับ แต้มดอกไม้เพิ่ม 3 แต้ม
,,,,,,
